authors,isbn13,title
"['Suppes, Patrick']",9780394039633,The Random House Mathematics Program
"['Random House', 'Francesca L. V. Langbaum']",9780345408082,Random House Essential French Dictionary
['Random House'],9780375700651,Random House Webster's College Thesaurus
['RANDOM HOUSE'],9780375403835,Random House Webster's unabridged dictionary
"['Rosen', 'Mel /']",9780375723445,Random House Casual Crossword Omnibus
"['New York inc. Paideia', 'Virginia Glenn McDavid']",9780394027562,The Random House English Handbook
"['Patrick Suppes', 'Seaton E Smith J...']",9780394021430,The Random House Mathematics Program
['Dictionary'],9780517316788,Random House Webster's College Dictionary
['Stanley Newman'],9780812934816,Random House Spring Vacation Crosswords
['Storey'],9780676571592,Perennial 1 Random House Book
['Jess Stein and  Stuart Berg Flexner; revised and updated by  Fraser Sutherland]'],9780375700651,Random House Webster's college thesaurus
['Sandra Schor'],9780394326085,Random House Guide To Writing
['RANDOM HOUSE'],9780679458531,Random House Webster's unabridged dictionary
['Glen David Gold'],9780739328538,Sunnyside (random House Large Print)
"['Joan D. Vinge', 'Oren Sherman']",9780679823773,Random House of Greek Myths
['Stanley Newman'],9780375722974,Random House Winter Treat Crosswords
['Random House'],9780375425608,Random House Webster's College Dictionary
['Random House'],9780070521995,Random House Webster's Concise Dictionary
['Karin Slaughter'],9780375728419,Faithless (random House Large Print)
['Kelly Milner Halls'],9781417763368,Random House Dinosaur Travel Guide
"['Ginjer L. Clarke', 'Betina Ogden']",9780375814495,Wild Dads! (random House Pictureback)
"['Tierney, Brian.', 'Kagan, Donald.', 'Williams, L. Pearce (leslie Pearce)']",9780394320069,Random House Historical Pamphlet Edition
['Frederick Crews'],9780394380186,Crews Random House Practice Book
['Katharine Hepburn'],9780679742456,Me (random House Large Print)
['Toni Morrison'],9780375704147,Beloved (random House Large Print)
['Dean Koontz'],9780739328514,Relentless (random House Large Print)
['Michael Ondaatje'],9780739327326,Divisadero (random House Large Print)
"['Phyllis Hollander', 'Zander Hollander']",9780394850207,Touchdown! (random House Sports Library)
['Dictionary'],9780679458555,Random House Webster's Concise Dictionary
['Phyllis A. Whitney'],9780679749493,Starflight (random House Large Print)
"['Mario Batali', 'Marcella Hazan', 'Frank Pellegrino']",9780676795783,The Random House Italian Kitchen
['Random House'],9780679416845,Random House Spanish Dict-vest
['Random House'],9780070136465,Random House Practice Book Edition
['Nicole Jordan'],9780375432545,Ecstasy (random House Large Print)
"['Geiss', 'Tony', 'Dictionary']",9780676527056,Random House Webster's College Dictionary
['Stephen Weinstein'],9780679750741,Random House Pro Baseball Dictionary
['Donald F. Sola'],9780345408075,Random House Essential Spanish Dictionary
['Thomas Harris'],9780375728341,Hannibal (random House Large Print)
['Varios'],9780553841398,"(grisham)/litigators, The.(random House)"
['Barbara Taylor Bradford'],9780679747260,Angel (random House Large Print)
['Stanley Newman'],9780812936230,Random House Winter Treat Crosswords
['Suzanne Somers'],9780739325889,Ageless (random House Large Print)
['Random House'],9780679438977,Random House Spanish-english Dictionary
['Random House'],9780394529004,The Random House  American Dictionary
['Dean Koontz'],9780679758730,Ticktock (random House Large Print)
['Michael Crichton'],9780679758983,Airframe (random House Large Print)
"['Roger Phillips', 'Storey Publishing']",9780676571691,Random House Bk Trees North
['Paula Rodenas'],9789992596777,Random House Horses And Horsemanship
['Ken Follett'],9780375431593,Jackdaws (random House Large Print)
"['Madden', 'James F']",9780394621050,First Atlas (random House / Hammond)
['Karin Slaughter'],9780739326534,Triptych (random House Large Print)
['Michael Ashley'],9780812933918,"Random House Crostics, Vol. 7"
['Stanley Newman'],9780812934182,Random House More Vacation Crosswords
['Michael Robotham'],9780375434693,Suspect (random House Large Print)
['Dictionary'],9780679414209,Random House Webster's college dictionary
"['Newman', 'Stanley']",9780812934328,Random House Cozy Crosswords (vacation)
['Laurie E. Rozakis Ph.d.'],9780375702839,"Random House Webster's Pocket Grammar, Usage, And Punctuation (random House Newer Words Faster)"
['Random House'],9780375701573,Random House Webster's Pocket Spanish Dictionary: Second Edition (random House Newer Words Faster)
['Bartholomew Cartographers'],9780517288917,Random House Compact World Atlas: 2nd Edition
['Sara Gruen'],9780739328040,Ape House: A Novel (random House Large Print)
['Sara Gruen'],9780385523226,Ape House: A Novel (random House Reader's Circle)
['Roger Phillips'],9780375754449,The Random House Book Of Plants For Shade (random House Book Of ... (garden Plants))
['Dick Frances'],9780375408700,Second Wind (random House Large Print)
['Elmore Leonard'],9780375430862,Pagan Babies (random House Large Print)
['Stanley Newman'],9780812936230,Random House Winter Treat Crosswords (vacation)
['Random House'],9780375701658,Random House Webster's Student Notebook Dictionary
"['Lillian Obligado', 'Lilian Obligado']",9780613221108,Nose To Toes (random House Picturebacks)
['John Grisham'],9780307990747,Calico Joe (random House Large Print)
['Mary Morgan'],9780679914938,Puddle Wonderful: Poems (random House Pictureback)
['Stella Rimington'],9780375434570,At Risk (random House Large Print)
['Caitlin Macy'],9780812971729,Spoiled: Stories (random House Reader's Circle)
['Dictionary'],9780345400956,Random House Webster's Dictionary : Second Edition
['Random House'],9780375719615,Random House Roget's Handy American Thesaurus
['All-about Books'],9780394899893,Spacecraft (random House All-about Books)
['John Grisham'],9780375433511,The Chamber (random House Large Print)
['Sandra Schor'],9780394337968,The Random House Guide To Writing
['Patricia S. Klein'],9780307497581,Random House Treasury Of Friendship Poems
['Dean Koontz'],9780375409707,False Memory (random House Large Print)
['George W. Bush'],9780739377826,Decision Points (random House Large Print)
['Carol Goodman'],9780739377598,Arcadia Falls (Random House Large Print)
['RANDOM HOUSE'],9780375401145,Random House Webster's Large Print Dictionary
"['Peggy R. Greene', 'William Dugan']",9780394838342,Things To Make (random House Pictureback)
['Richard North Patterson'],9780375408441,Dark Lady (random House Large Print)
['Random House'],9780345400949,Random House Roget's Thesaurus: Third Edition
['All-about Books'],9780394992112,Ufo's (random House All-about Books)
"['Carol G. Braham', 'Random House R...']",9780375407031,Random House Webster's Dictionary: Classic Edition
"['Janis Forman', 'Kathleen A. Kelly']",9780075572213,Random House Guide To Business Writing
['Dani Shapiro'],9780375432798,Family History (random House Large Print)
['Nicholas Sparks'],9780739412589,The Rescue (random House Large Print)
['Random House'],9780073660721,Random House Webster's School & Office Dictionary
['RANDOM HOUSE'],9780375700590,Random House Webster's Pocket Business Dictionary
['Martin Cruz Smith'],9780375706790,Havana Bay (random House Large Print)
"['Roger Phillips', 'Martyn Rix']",9780609000410,Random House Book Of Scented Plants
['John Grisham'],9780739378533,The Firm (random House Large Print)
['Sandra Brown'],9780739326787,Temperatures Rising (random House Large Print)
['Michael A Vaccaro'],9780394838786,Officer Bill (a Random House Pictureback)
['Mel Rosen'],9780812925449,Random House Puzzlemaker's Handbook (rh Crosswords)
['Philip Roth'],9780739327562,Exit Ghost (random House Large Print)
['Helicon'],9780375403880,Random House Webster's Encyclopedia Of Science
['Rosemary Clooney'],9780375408588,Girl Singer (random House Large Print)
